Provinsi,Panlok,PTN,Prodi,Jumlah
Aceh,11,10,102012,7
Aceh,11,10,102026,3
Aceh,11,10,102034,2
Aceh,11,10,102042,2
Aceh,11,10,102056,5
Aceh,11,10,102064,3
Aceh,11,11,111011,23
Aceh,11,11,111025,68
Aceh,11,11,111033,37
Aceh,11,11,111041,32
Aceh,11,11,111055,41
Aceh,11,11,111063,45
Aceh,11,11,111071,34
Aceh,11,11,111085,38
Aceh,11,11,111093,30
Aceh,11,11,111106,35
Aceh,11,11,111114,28
Aceh,11,11,111122,38
Aceh,11,11,111136,33
Aceh,11,11,111144,29
Aceh,11,11,111152,32
Aceh,11,11,111166,34
Aceh,11,11,111174,65
Aceh,11,11,111182,20
Aceh,11,11,111196,17
Aceh,11,11,111203,18
Aceh,11,11,111211,18
Aceh,11,11,111225,22
Aceh,11,11,111233,19
Aceh,11,11,111241,22
Aceh,11,11,111255,23
Aceh,11,11,111263,33
Aceh,11,11,111271,20
Aceh,11,11,111285,18
Aceh,11,11,111293,22
Aceh,11,11,111306,16
Aceh,11,11,111314,25
Aceh,11,11,111322,26
Aceh,11,11,111336,15
Aceh,11,11,111344,10
Aceh,11,11,111352,15
Aceh,11,11,111366,21
Aceh,11,11,111374,12
Aceh,11,11,111382,20
Aceh,11,11,111396,17
Aceh,11,11,111403,14
Aceh,11,11,112013,29
Aceh,11,11,112021,46
Aceh,11,11,112035,40
Aceh,11,11,112043,159
Aceh,11,11,112051,21
Aceh,11,11,112065,27
Aceh,11,11,112073,30
Aceh,11,11,112081,29
Aceh,11,11,112095,35
Aceh,11,11,112102,37
Aceh,11,11,112116,22
Aceh,11,11,112124,21
Aceh,11,11,112132,51
Aceh,11,11,112146,22
Aceh,11,11,112154,34
Aceh,11,11,112162,20
Aceh,11,11,112176,28
Aceh,11,11,112184,33
Aceh,11,11,112192,31
Aceh,11,11,112205,25
Aceh,11,11,112213,26
Aceh,11,11,112221,35
Aceh,11,11,112235,17
Aceh,11,12,121012,33
Aceh,11,12,121026,25
Aceh,11,12,121034,14
Aceh,11,12,121042,17
Aceh,11,12,121056,11
Aceh,11,12,121064,16
Aceh,11,12,121072,16
Aceh,11,12,121086,12
Aceh,11,12,121094,6
Aceh,11,12,121101,10
Aceh,11,12,121115,8
Aceh,11,12,121123,11
Aceh,11,12,121131,13
Aceh,11,12,121145,11
Aceh,11,12,121153,7
Aceh,11,12,121161,6
Aceh,11,12,121175,20
Aceh,11,12,122014,19
Aceh,11,12,122022,15
Aceh,11,12,122036,14
Aceh,11,12,122044,23
Aceh,11,12,122052,12
Aceh,11,12,122066,19
Aceh,11,12,122074,5
Aceh,11,12,122082,19
Aceh,11,12,122096,35
Aceh,11,12,122103,19
Aceh,11,12,122111,13
Aceh,11,12,122125,9
Aceh,11,13,131013,51
Aceh,11,13,131021,33
Aceh,11,13,131035,34
Aceh,11,13,131043,49
Aceh,11,13,131051,53
Aceh,11,13,131065,38
Aceh,11,13,131073,42
Aceh,11,13,131081,26
Aceh,11,13,131095,21
Aceh,11,13,132015,50
Aceh,11,13,132023,55
Aceh,11,13,132031,42
Aceh,11,13,132045,35
Aceh,11,13,132053,51
Aceh,11,13,132061,41
Aceh,11,13,132075,37
Aceh,11,14,141022,1
Aceh,11,14,142062,1
Aceh,11,14,142105,1
Aceh,11,14,142113,1
Aceh,11,14,142232,1
Aceh,11,14,142254,1
Aceh,11,14,142284,1
Aceh,11,14,142305,1
Aceh,11,14,142313,1
Aceh,11,15,151031,1
Aceh,11,15,151045,1
Aceh,11,15,151075,2
Aceh,11,15,151083,1
Aceh,11,15,151091,1
Aceh,11,15,151104,3
Aceh,11,15,151142,1
Aceh,11,15,151156,1
Aceh,11,15,151186,1
Aceh,11,15,151194,1
Aceh,11,15,151231,1
Aceh,11,15,152011,3
Aceh,11,15,152033,1
Aceh,11,15,152055,1
Aceh,11,15,152122,3
Aceh,11,15,152144,2
Aceh,11,15,152196,1
Aceh,11,15,152233,1
Aceh,11,16,161016,1
Aceh,11,16,161024,2
Aceh,11,16,161032,5
Aceh,11,16,161046,1
Aceh,11,16,161062,2
Aceh,11,16,161076,2
Aceh,11,16,161084,1
Aceh,11,16,161092,3
Aceh,11,16,161105,1
Aceh,11,16,161113,1
Aceh,11,16,161121,1
Aceh,11,16,161151,1
Aceh,11,16,162012,10
Aceh,11,16,162026,4
Aceh,11,16,162034,5
Aceh,11,16,162042,2
Aceh,11,16,162056,1
Aceh,11,16,162064,11
Aceh,11,16,162086,4
Aceh,11,16,162094,1
Aceh,11,16,162101,2
Aceh,11,17,171011,1
Aceh,11,17,172116,1
Aceh,11,17,172132,1
Aceh,11,18,181086,1
Aceh,11,18,181204,1
Aceh,11,18,182022,1
Aceh,11,18,182074,1
Aceh,11,19,191095,1
Aceh,11,19,191162,1
Aceh,11,19,192015,1
Aceh,11,19,192091,1
Aceh,11,21,212154,1
Aceh,11,23,231013,1
Aceh,11,23,231205,1
Aceh,11,23,231332,1
Aceh,11,23,232061,1
Aceh,11,23,232186,2
Aceh,11,24,242062,1
Aceh,11,25,251083,1
Aceh,11,25,251126,1
Aceh,11,26,261032,1
Aceh,11,26,261046,1
Aceh,11,26,261062,2
Aceh,11,26,261084,1
Aceh,11,29,291013,43
Aceh,11,29,291021,56
Aceh,11,29,291035,50
Aceh,11,29,291043,31
Aceh,11,29,291051,32
Aceh,11,29,291065,25
Aceh,11,29,292015,45
Aceh,11,29,292023,46
Aceh,11,29,292031,41
Aceh,11,29,292045,56
Aceh,11,29,292053,64
Aceh,11,29,292061,48
Aceh,11,29,292075,45
Aceh,11,29,292083,39
Aceh,11,29,292091,51
Aceh,11,30,301084,1
Aceh,11,30,301105,1
Aceh,11,31,311025,1
Aceh,11,31,311033,1
Aceh,11,31,311166,1
Aceh,11,31,311203,1
Aceh,11,31,311211,1
Aceh,11,31,311255,1
Aceh,11,31,312043,2
Aceh,11,31,312132,1
Aceh,11,31,312295,1
Aceh,11,32,322082,1
Aceh,11,33,331102,1
Aceh,11,33,331421,2
Aceh,11,33,331465,1
Aceh,11,34,341014,1
Aceh,11,34,341125,1
Aceh,11,34,341171,1
Aceh,11,34,342195,1
Aceh,11,34,342395,1
Aceh,11,34,342424,1
Aceh,11,35,351023,1
Aceh,11,35,351031,3
Aceh,11,35,351045,2
Aceh,11,35,351075,1
Aceh,11,35,351091,2
Aceh,11,36,361143,1
Aceh,11,36,361165,2
Aceh,11,36,361202,1
Aceh,11,36,362012,1
Aceh,11,36,362064,1
Aceh,11,36,362086,1
Aceh,11,36,362161,1
Aceh,11,36,362204,1
Aceh,11,37,372073,1
Aceh,11,42,422155,1
Aceh,11,42,422282,1
Aceh,11,43,431073,1
Aceh,11,43,431176,1
Aceh,11,45,452203,1
Aceh,11,46,461092,2
Aceh,11,47,471152,1
Aceh,11,47,471211,1
Aceh,11,47,471263,1
Aceh,11,47,471366,1
Aceh,11,47,471441,1
Aceh,11,47,472095,1
Aceh,11,47,472176,1
Aceh,11,48,482274,1
Aceh,11,49,491035,1
Aceh,11,51,511122,2
Aceh,11,51,511203,1
Aceh,11,51,511255,1
Aceh,11,54,542062,1
Aceh,11,55,552285,1
Aceh,11,56,562012,1
Aceh,11,56,562072,1
Aceh,11,56,562101,1
Aceh,11,57,572095,1
Aceh,11,60,602034,1
Aceh,11,60,602094,1
Aceh,11,73,731221,1
Aceh,11,82,821264,1
Aceh,11,85,851091,1
Aceh,11,87,872095,1
Aceh,11,92,921034,1
Aceh,11,92,921064,1
Aceh,11,96,961173,1
Aceh,12,10,102042,1
Aceh,12,10,102056,1
Aceh,12,11,111011,1
Aceh,12,11,111025,1
Aceh,12,11,111033,3
Aceh,12,11,111055,3
Aceh,12,11,111071,1
Aceh,12,11,111093,1
Aceh,12,11,111106,2
Aceh,12,11,111114,1
Aceh,12,11,111122,1
Aceh,12,11,111136,2
Aceh,12,11,111144,2
Aceh,12,11,111152,2
Aceh,12,11,111196,2
Aceh,12,11,111203,3
Aceh,12,11,111211,1
Aceh,12,11,111241,2
Aceh,12,11,111271,1
Aceh,12,11,111293,1
Aceh,12,11,111306,1
Aceh,12,11,111322,1
Aceh,12,11,111344,1
Aceh,12,11,111352,1
Aceh,12,11,111374,1
Aceh,12,11,112013,1
Aceh,12,11,112021,1
Aceh,12,11,112035,1
Aceh,12,11,112043,1
Aceh,12,11,112051,1
Aceh,12,11,112065,2
Aceh,12,11,112073,1
Aceh,12,11,112081,1
Aceh,12,11,112102,2
Aceh,12,11,112124,4
Aceh,12,11,112146,3
Aceh,12,11,112154,1
Aceh,12,11,112162,1
Aceh,12,11,112176,1
Aceh,12,11,112192,1
Aceh,12,11,112213,1
Aceh,12,11,112221,1
Aceh,12,11,112235,1
Aceh,12,12,121012,36
Aceh,12,12,121026,61
Aceh,12,12,121034,47
Aceh,12,12,121042,47
Aceh,12,12,121056,38
Aceh,12,12,121064,44
Aceh,12,12,121072,45
Aceh,12,12,121086,21
Aceh,12,12,121094,18
Aceh,12,12,121101,34
Aceh,12,12,121115,17
Aceh,12,12,121123,15
Aceh,12,12,121131,22
Aceh,12,12,121145,17
