Kode Univesitas,Nama Universitas,Website Universitas,Kode Prodi,Nama Prodi,Peminat
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111011,PENDIDIKAN DOKTER HEWAN,913
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111025,TEKNIK SIPIL,1686
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111033,TEKNIK MESIN,648
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111041,TEKNIK KIMIA,371
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111055,ARSITEKTUR,809
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111063,TEKNIK ELEKTRO,774
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111071,AGROTEKNOLOGI,609
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111085,AGRIBISNIS,1083
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111093,PETERNAKAN,361
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111106,TEKNOLOGI HASIL PERTANIAN,438
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111114,TEKNIK PERTANIAN,703
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111122,PENDIDIKAN BIOLOGI,636
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111136,PENDIDIKAN MATEMATIKA,424
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111144,PENDIDIKAN FISIKA,154
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111152,PENDIDIKAN KIMIA,216
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111166,PENDIDIKAN DOKTER,2352
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111174,ILMU KEPERAWATAN,1473
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111182,PENDIDIKAN DOKTER GIGI,1474
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111196,MATEMATIKA,220
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111203,FISIKA,90
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111211,KIMIA,164
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111225,BIOLOGI,317
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111233,ILMU KELAUTAN,344
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111241,BUDIDAYA PERAIRAN,238
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111255,TEKNIK INDUSTRI,539
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111263,INFORMATIKA,1858
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111271,FARMASI,1951
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111285,TEKNIK GEOFISIKA,191
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111293,TEKNIK PERTAMBANGAN,662
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111306,STATISTIKA,350
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111314,PEMANFAATAN SUMBERDAYA PERIKANAN,217
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111322,ILMU TANAH,263
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111336,TEKNIK GEOLOGI,145
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111344,AGROTEKNOLOGI (PDD GAYO LUES),102
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111352,PENDIDIKAN BIOLOGI (PDD GAYO LUES),32
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111366,KEHUTANAN (PDD GAYO LUES),122
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111374,PROTEKSI TANAMAN,131
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111382,PERENCANAAN WILAYAH DAN KOTA,633
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111396,KEHUTANAN,193
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111403,TEKNIK KOMPUTER,1144
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112013,EKONOMI PEMBANGUNAN,960
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112021,MANAJEMEN,2468
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112035,AKUNTANSI,1767
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112043,ILMU HUKUM,2083
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112051,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,308
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112065,PENDIDIKAN SEJARAH,310
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112073,PENDIDIKAN EKONOMI,335
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112081,PENDIDIKAN GEOGRAFI,372
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112095,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,672
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112102,PENDIDIKAN BAHASA INGGRIS,917
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112116,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,334
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112124,PENDIDIKAN KESEJAHTERAAN KELUARGA,432
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112132,PEND. JASMANI KESEHATAN DAN REKREASI,700
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112146,BIMBINGAN KONSELING,516
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112154,PENDIDIKAN GURU SEKOLAH DASAR,791
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112162,PSIKOLOGI,814
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112176,ILMU POLITIK,543
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112184,SOSIOLOGI,407
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112192,ILMU KOMUNIKASI,943
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112205,PENDIDIKAN GURU PAUD,465
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112213,ILMU PEMERINTAHAN,576
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112221,EKONOMI ISLAM,1007
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112235,MANAJEMEN (PDD GAYO LUES),69
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121012,TEKNIK SIPIL,641
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121026,TEKNIK MESIN,327
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121034,TEKNIK KIMIA,256
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121042,TEKNIK ELEKTRO,333
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121056,TEKNIK INDUSTRI,493
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121064,TEKNIK INFORMATIKA,1090
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121072,TEKNIK ARSITEKTUR,276
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121086,AGROEKOTEKNOLOGI,491
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121094,AGRIBISNIS,738
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121101,BUDIDAYA PERAIRAN,240
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121115,PENDIDIKAN DOKTER,1117
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121123,PENDIDIKAN FISIKA,108
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121131,PENDIDIKAN KIMIA,100
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121145,PENDIDIKAN MATEMATIKA,176
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121153,PENDIDIKAN TEKNIK MESIN,92
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121161,SISTEM INFORMASI,273
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,121175,ILMU KELAUTAN,167
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122014,MANAJEMEN,1184
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122022,AKUNTANSI,798
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122036,ILMU EKONOMI & STUDI PEMBANGUNAN,454
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122044,ILMU ADMINISTRASI NEGARA,783
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122052,SOSIOLOGI,244
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122066,ILMU POLITIK,221
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122074,ANTROPOLOGI,98
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122082,ILMU KOMUNIKASI,575
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122096,ILMU HUKUM,688
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122103,EKONOMI ISLAM,481
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122111,PSIKOLOGI,458
12,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/,122125,SASTRA INDONESIA,280
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131013,TEKNIK SIPIL,269
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131021,TEKNIK MESIN,153
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131035,TEKNIK INDUSTRI,161
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131043,AGRIBISNIS,294
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131051,AGROTEKNOLOGI,158
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131065,PERIKANAN,259
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131073,KESEHATAN MASYARAKAT,412
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131081,AKUAKULTUR,46
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,131095,SUMBER DAYA AKUATIK,40
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132015,EKONOMI PEMBANGUNAN,206
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132023,ILMU ADMINISTRASI NEGARA,374
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132031,SOSIOLOGI,200
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132045,ILMU KOMUNIKASI,194
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132053,MANAJEMEN,411
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132061,AKUNTANSI,273
13,UNIVERSITAS TEUKU UMAR,http://www.utu.ac.id/,132075,ILMU HUKUM,200
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141014,PENDIDIKAN MATEMATIKA,1673
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141022,PENDIDIKAN BIOLOGI,2060
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141036,PENDIDIKAN FISIKA,777
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141044,PENDIDIKAN KIMIA,860
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141052,PENDIDIKAN TEKNIK BANGUNAN,260
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141066,PENDIDIKAN TEKNIK MESIN,590
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141074,PENDIDIKAN TEKNIK ELEKTRO,408
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141082,KIMIA,437
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141096,BIOLOGI,990
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141103,ILMU KEOLAHRAGAAN,861
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141111,MATEMATIKA,708
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141125,FISIKA,236
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141133,PENDIDIKAN TEKNIK OTOMOTIF,420
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141141,GIZI,1478
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141155,TEKNIK ELEKTRO,660
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141163,TEKNIK SIPIL,1317
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,141171,PENDIDIKAN TEKNOLOGI INFORMATIKA DAN KOMPUTER,1915
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142024,PENDIDIKAN SEJARAH,919
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142032,PEND. PANCASILA & KEWARGANEGARAAN (PPKN),913
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142046,PENDIDIKAN GEOGRAFI,865
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142054,"PEND. JASMANI,KESEHATAN & REKREASI",1703
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142062,PENDIDIKAN KEPELATIHAN OLAHRAGA (PKO),1017
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142076,PENDIDIKAN LUAR SEKOLAH (PLS),228
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142084,PENDIDIKAN EKONOMI,979
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142092,MANAJEMEN,2477
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142105,AKUNTASI,1926
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142113,"PEND. BAHASA,SASTRA INDONESIA & DAERAH",1727
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142121,PENDIDIKAN BAHASA INGGRIS,1877
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142135,PENDIDIKAN BAHASA PERANCIS,180
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142143,PENDIDIKAN BAHASA JERMAN,271
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142151,PENDIDIKAN SENI RUPA,310
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142165,SASTRA INDONESIA,539
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142173,SASTRA INGGRIS,970
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142195,PENDIDIKAN GURU SEKOLAH DASAR (PGSD),3959
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142202,PENDIDIKAN TATA BOGA,985
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142216,PENDIDIKAN TATA RIAS,553
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142224,PENDIDIKAN ANTROPOLOGI,831
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142232,PEND. GURU PENDIDIKAN ANAK USIA DINI,842
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142246,PENDIDIKAN BIMBINGAN DAN KONSELING,1678
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142254,PENDIDIKAN AKUNTANSI,847
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142276,PENDIDIKAN ADMINISTRASI PERKANTORAN,969
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142284,PENDIDIKAN TATA NIAGA,370
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142292,PENDIDIKAN SENI TARI,216
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142305,PENDIDIKAN SENI MUSIK,652
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142313,PENDIDIKAN TATA BUSANA,691
14,UNIVERSITAS NEGERI MEDAN,http://www.unimed.ac.id,142321,SENI PERTUNJUKAN,34
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151015,PENDIDIKAN DOKTER,2731
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151023,TEKNIK SIPIL,2066
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151031,TEKNIK MESIN,1449
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151045,TEKNIK ELEKTRO,1318
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151053,TEKNIK INDUSTRI,1536
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151061,TEKNIK KIMIA,884
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151075,PENDIDIKAN DOKTER GIGI,2364
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151083,MATEMATIKA,808
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151091,KIMIA,537
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151104,FARMASI,2626
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151112,FISIKA,393
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151126,ILMU KESEHATAN MASYARAKAT,3200
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151134,AGROEKOTEKNOLOGI,2306
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151142,KETEKNIKAN PERTANIAN,1339
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151156,BIOLOGI,812
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151164,AGRIBISNIS,3576
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151172,ILMU DAN TEKNOLOGI PANGAN,1172
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151186,PETERNAKAN,1311
15,UNIVERSITAS SUMATERA UTARA,http://www.usu.ac.id,151194,ARSITEKTUR,1245
