Kode Univesitas,Nama Universitas,Website Universitas,Kode Prodi,Nama Prodi
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111011,"PENDIDIKAN DOKTER HEWAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111025,"TEKNIK SIPIL"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111033,"TEKNIK MESIN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111041,"TEKNIK KIMIA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111055,"ARSITEKTUR"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111063,"TEKNIK ELEKTRO"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111071,"AGROTEKNOLOGI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111085,"AGRIBISNIS"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111093,"PETERNAKAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111106,"TEKNOLOGI HASIL PERTANIAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111114,"TEKNIK PERTANIAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111122,"PENDIDIKAN BIOLOGI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111136,"PENDIDIKAN MATEMATIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111144,"PENDIDIKAN FISIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111152,"PENDIDIKAN KIMIA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111166,"PENDIDIKAN DOKTER"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111174,"ILMU KEPERAWATAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111182,"PENDIDIKAN DOKTER GIGI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111196,"MATEMATIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111203,"FISIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111211,"KIMIA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111225,"BIOLOGI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111233,"ILMU KELAUTAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111241,"BUDIDAYA PERAIRAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111255,"TEKNIK INDUSTRI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111263,"INFORMATIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111271,"FARMASI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111285,"TEKNIK GEOFISIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111293,"TEKNIK PERTAMBANGAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111306,"STATISTIKA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111314,"PEMANFAATAN SUMBERDAYA PERIKANAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111322,"ILMU TANAH"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111336,"TEKNIK GEOLOGI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111344,"AGROTEKNOLOGI (PDD GAYO LUES)"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111352,"PENDIDIKAN BIOLOGI (PDD GAYO LUES)"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111366,"KEHUTANAN (PDD GAYO LUES)"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111374,"PROTEKSI TANAMAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111382,"PERENCANAAN WILAYAH DAN KOTA"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111396,"KEHUTANAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,111403,"TEKNIK KOMPUTER"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112013,"EKONOMI PEMBANGUNAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112021,"MANAJEMEN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112035,"AKUNTANSI"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112043,"ILMU HUKUM"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112051,"PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN"
11,UNIVERSITAS SYIAH KUALA,http://pmb.unsyiah.ac.id/,112065,"PENDIDIKAN SEJARAH"
